Model Name,Window Size,Batch Size,Epochs,Units,LSTM Layers,MSE,MAE,R2
model_20241011-173758_ws2_bs5_epochs30_units128_layers3.keras,2,5,30,128,3,8.549953435591542,1.292118692402855,0.9974082182166657
model_20241011-173817_ws2_bs5_epochs30_units1_layers1.keras,2,5,30,1,1,144.49401080507033,8.80366856732778,0.9561989491724553
model_20241011-173824_ws10_bs256_epochs30_units16_layers3.keras,10,256,30,16,3,17.59878987307127,2.500225500511118,0.9941975831404201
model_20241011-173826_ws1_bs256_epochs30_units64_layers1.keras,1,256,30,64,1,3.193259573095618,1.335815723888343,0.9990305377198755
model_20241011-173829_ws15_bs256_epochs30_units1_layers1.keras,15,256,30,1,1,172.3509908119306,10.601456277886962,0.9467611503873407
model_20241011-173854_ws15_bs14_epochs30_units1_layers2.keras,15,14,30,1,2,109.77928557557212,7.804683703390157,0.9660894152809333
model_20241011-173914_ws15_bs64_epochs30_units32_layers3.keras,15,64,30,32,3,13.575065485258744,2.845768819548118,0.99580669152845
model_20241011-173921_ws2_bs256_epochs30_units16_layers2.keras,2,256,30,16,2,9.628851265038149,1.879143410812268,0.9970811675769747
model_20241011-174521_ws30_bs1_epochs30_units8_layers2.keras,30,1,30,8,2,4.589919262174404,1.3567798419838275,0.9985550084304702
model_20241011-174524_ws1_bs128_epochs30_units32_layers1.keras,1,128,30,32,1,2.0555517350461803,1.0439798396279394,0.9993759417841375
model_20241011-174531_ws60_bs512_epochs30_units5_layers2.keras,60,512,30,5,2,28.079595640315503,3.615680839235966,0.9917486491394325
model_20241011-174545_ws60_bs512_epochs30_units16_layers2.keras,60,512,30,16,2,7.934967337200927,1.5883355299229565,0.9976682641586055
model_20241011-174817_ws60_bs14_epochs30_units12_layers3.keras,60,14,30,12,3,8.609951363034863,1.3194179594034126,0.9974699162160718
model_20241011-180720_ws5_bs1_epochs30_units16_layers3.keras,5,1,30,16,3,3.4780646571855827,0.8855487150087785,0.9989520009568984
model_20241011-182336_ws30_bs5_epochs30_units12_layers1.keras,30,5,30,12,1,9.67888002129992,1.6428762838112356,0.9969529093575725
model_20241011-182355_ws60_bs128_epochs30_units1_layers3.keras,60,128,30,1,3,183.0451878708318,9.487003765246163,0.9462111175742077
model_20241011-183035_ws20_bs5_epochs30_units32_layers3.keras,20,5,30,32,3,9.261310313473418,1.9635748016263628,0.997237032619489
model_20241011-183117_ws15_bs64_epochs30_units128_layers2.keras,15,64,30,128,2,5.797062885760537,1.5590696018993992,0.998209299768361
model_20241011-183121_ws1_bs30_epochs30_units8_layers1.keras,1,30,30,8,1,7.0886942459733655,1.830210701049378,0.9978478975700228
